TABLE_NAME,COLUMN_NAME,DATA_LENGTH,DATA_TYPE,COLUMN_ID,NULLABLE
CONC_DOM,X_CONC_DOM_VER_NR,22,NUMBER,16,Y
CONC_DOM,Y_CONC_DOM_ITEM_ID,22,NUMBER,14,Y
CONC_DOM,Y_CONC_DOM_VER_NR,22,NUMBER,17,Y
CONC_DOM,Z_CONC_DOM_ITEM_ID,22,NUMBER,15,Y
CONC_DOM,Z_CONC_DOM_VER_NR,22,NUMBER,18,Y
CONC_DOM_REL,CONC_DOM_REL_TYP_ID,22,NUMBER,1,N
CONC_DOM_REL,CREAT_DT,7,DATE,5,Y
CONC_DOM_REL,CREAT_USR_ID,50,VARCHAR2,7,Y
CONC_DOM_REL,FLD_DELETE,22,NUMBER,9,Y
CONC_DOM_REL,LST_DEL_DT,7,DATE,10,Y
CONC_DOM_REL,LST_UPD_DT,7,DATE,12,Y
CONC_DOM_REL,LST_UPD_USR_ID,50,VARCHAR2,8,Y
CONC_DOM_REL,PRMRY_ITEM_ID,22,NUMBER,2,N
CONC_DOM_REL,PRMRY_VER_NR,22,NUMBER,3,N
CONC_DOM_REL,S2P_TRN_DT,7,DATE,11,Y
CONC_DOM_REL,SCNDRY_ITEM_ID,22,NUMBER,4,N
CONC_DOM_REL,SCNDRY_VER_NR,22,NUMBER,6,N
CONC_DOM_VAL_MEAN,CONC_DOM_ITEM_ID,22,NUMBER,2,N
CONC_DOM_VAL_MEAN,CONC_DOM_VER_NR,22,NUMBER,1,N
CONC_DOM_VAL_MEAN,CREAT_DT,7,DATE,6,Y
CONC_DOM_VAL_MEAN,CREAT_USR_ID,50,VARCHAR2,7,Y
CONC_DOM_VAL_MEAN,FLD_DELETE,22,NUMBER,9,Y
CONC_DOM_VAL_MEAN,LST_DEL_DT,7,DATE,10,Y
CONC_DOM_VAL_MEAN,LST_UPD_DT,7,DATE,12,Y
CONC_DOM_VAL_MEAN,LST_UPD_USR_ID,50,VARCHAR2,8,Y
CONC_DOM_VAL_MEAN,NCI_VAL_MEAN_ITEM_ID,22,NUMBER,3,N
CONC_DOM_VAL_MEAN,NCI_VAL_MEAN_VER_NR,22,NUMBER,4,N
CONC_DOM_VAL_MEAN,S2P_TRN_DT,7,DATE,11,Y
CONC_DOM_VAL_MEAN,VAL_MEAN_ID,22,NUMBER,5,Y
DATA_TYP,CREAT_DT,7,DATE,5,Y
DATA_TYP,CREAT_USR_ID,50,VARCHAR2,7,Y
DATA_TYP,DTTYPE_ANNTTN,"2,000",VARCHAR2,2,Y
DATA_TYP,DTTYPE_DESC,255,VARCHAR2,3,Y
DATA_TYP,DTTYPE_ID,22,NUMBER,1,N
DATA_TYP,DTTYPE_NM,50,VARCHAR2,4,N
DATA_TYP,DTTYPE_SCHM_REF,255,VARCHAR2,6,Y
DATA_TYP,DTTYPE_XSD_TAG,20,VARCHAR2,13,Y
DATA_TYP,FLD_DELETE,22,NUMBER,9,Y
DATA_TYP,LST_DEL_DT,7,DATE,10,Y
DATA_TYP,LST_UPD_DT,7,DATE,12,Y
DATA_TYP,LST_UPD_USR_ID,50,VARCHAR2,8,Y
DATA_TYP,NCI_CD,20,VARCHAR2,15,Y
DATA_TYP,NCI_DTTYPE_CMNTS,"2,000",VARCHAR2,14,Y
DATA_TYP,NCI_DTTYPE_MAP,50,VARCHAR2,17,Y
DATA_TYP,NCI_DTTYPE_TYP_ID,22,NUMBER,16,Y
DATA_TYP,S2P_TRN_DT,7,DATE,11,Y
DE,CONCAT_CHAR,20,VARCHAR2,20,Y
DE,CREAT_DT,7,DATE,8,Y
DE,CREAT_USR_ID,50,VARCHAR2,11,Y
DE,DERV_DE_IND,22,NUMBER,17,Y
DE,DERV_MTHD,"4,000",VARCHAR2,23,Y
DE,DERV_RUL,"4,000",VARCHAR2,24,Y
DE,DERV_RUL_ITEM_ID,22,NUMBER,18,Y
DE,DERV_RUL_VER_NR,22,NUMBER,19,Y
DE,DERV_TYP_ID,22,NUMBER,25,Y
DE,DE_CONC_ITEM_ID,22,NUMBER,5,N
DE,DE_CONC_VER_NR,22,NUMBER,4,N
DE,DE_PREC,22,NUMBER,1,Y
DE,DICT_MTCH_TIPS_TXT,"1,024",VARCHAR2,22,Y
DE,FLD_DELETE,22,NUMBER,13,Y
DE,ITEM_ID,22,NUMBER,2,N
DE,LST_DEL_DT,7,DATE,14,Y
DE,LST_UPD_DT,7,DATE,16,Y
